architecture,concurrency,metric,run1,run2,run3,mean,sd,ci_lower,ci_upper
Monolithic,1,p50_ms,98.07,98.05,94.73,96.95,1.9226,94.7744,99.1256
Monolithic,1,p99_ms,123.93,124.27,121.15,123.1167,1.7116,121.1798,125.0536
Monolithic,1,throughput_rps,11.1,11.04,11.45,11.1967,0.2214,10.9461,11.4472
Monolithic,1,cpu_percent,196.19,195.6,196.47,196.0867,0.4441,195.5841,196.5892
Monolithic,1,memory_mb,159.05,159.54,159.32,159.3033,0.2454,159.0256,159.5811
Monolithic,1,network_rx_mbps,1.7399,1.7453,1.7846,1.7566,0.0244,1.729,1.7842
Monolithic,5,p50_ms,481.08,494.37,489.53,488.3267,6.7262,480.7152,495.9381
Monolithic,5,p99_ms,751.12,783.8,754.03,762.9833,18.0864,742.5167,783.45
Monolithic,5,throughput_rps,11.36,11.07,11.14,11.19,0.1513,11.0188,11.3612
Monolithic,5,cpu_percent,197.91,198.01,197.45,197.79,0.2987,197.452,198.128
Monolithic,5,memory_mb,160.59,161.11,160.85,160.85,0.26,160.5558,161.1442
Monolithic,5,network_rx_mbps,1.786,1.7761,1.7344,1.7655,0.0274,1.7345,1.7965
Monolithic,10,p50_ms,956.36,971.57,971.37,966.4333,8.7243,956.5608,976.3058
Monolithic,10,p99_ms,1497.89,1536.47,1499.32,1511.2267,21.8731,1486.475,1535.9784
Monolithic,10,throughput_rps,11.38,11.22,11.24,11.28,0.0872,11.1813,11.3787
Monolithic,10,cpu_percent,197.47,198.27,197.77,197.8367,0.4041,197.3793,198.294
Monolithic,10,memory_mb,160.7,160.56,161.05,160.77,0.2524,160.4844,161.0556
Monolithic,10,network_rx_mbps,1.8077,1.759,1.7548,1.7738,0.0294,1.7406,1.8071
Monolithic,25,p50_ms,2381.17,2366.08,2354.24,2367.1633,13.4976,2351.8893,2382.4374
Monolithic,25,p99_ms,3718.14,3793.43,3672.15,3727.9067,61.227,3658.6217,3797.1916
Monolithic,25,throughput_rps,11.25,11.39,11.53,11.39,0.14,11.2316,11.5484
Monolithic,25,cpu_percent,197.71,197.99,197.73,197.81,0.1562,197.6332,197.9868
Monolithic,25,memory_mb,160.94,161.82,161.73,161.4967,0.4842,160.9488,162.0446
Monolithic,25,network_rx_mbps,1.8052,1.8056,1.8207,1.8105,0.0088,1.8005,1.8205
Monolithic,50,p50_ms,4712.41,4637.04,4664.37,4671.2733,38.1563,4628.0954,4714.4512
Monolithic,50,p99_ms,7240.51,7168.42,7148.66,7185.8633,48.3457,7131.155,7240.5717
Monolithic,50,throughput_rps,11.55,11.63,11.67,11.6167,0.0611,11.5475,11.6858
Monolithic,50,cpu_percent,198.38,197.99,198.63,198.3333,0.3225,197.9683,198.6983
Monolithic,50,memory_mb,162.19,161.72,162.49,162.1333,0.3881,161.6941,162.5725
Monolithic,50,network_rx_mbps,1.8073,1.8157,1.7962,1.8064,0.0098,1.7953,1.8174
Monolithic,75,p50_ms,6891.04,6817.85,6804.77,6837.8867,46.4944,6785.2733,6890.5
Monolithic,75,p99_ms,75482.35,70888.51,71291.46,72554.1067,2543.9239,69675.3857,75432.8276
Monolithic,75,throughput_rps,11.64,11.65,11.56,11.6167,0.0493,11.5608,11.6725
Monolithic,75,cpu_percent,197.96,198.36,197.62,197.98,0.3704,197.5608,198.3992
Monolithic,75,memory_mb,162.74,163.25,163.71,163.2333,0.4852,162.6843,163.7824
Monolithic,75,network_rx_mbps,1.8253,1.8322,1.804,1.8205,0.0147,1.8039,1.8372
Monolithic,100,p50_ms,7463.11,7550.09,7634.54,7549.2467,85.7181,7452.2475,7646.2458
Monolithic,100,p99_ms,150479.55,153590.29,152128.73,152066.19,1556.3127,150305.0564,153827.3236
Monolithic,100,throughput_rps,11.68,11.65,11.47,11.6,0.1136,11.4715,11.7285
Monolithic,100,cpu_percent,198.26,197.95,198.69,198.3,0.3716,197.8795,198.7205
Monolithic,100,memory_mb,162.89,162.74,162.28,162.6367,0.3179,162.277,162.9964
Monolithic,100,network_rx_mbps,1.8151,1.8362,1.8154,1.8222,0.0121,1.8086,1.8359
Microservices,1,p50_ms,100.93,100.55,101.33,100.9367,0.39,100.4953,101.378
Microservices,1,p99_ms,126.57,125.2,127.52,126.43,1.1663,125.1102,127.7498
Microservices,1,throughput_rps,10.11,10.54,10.5,10.3833,0.2376,10.1145,10.6522
Microservices,1,cpu_percent,201.59,197.34,196.11,198.3467,2.8753,195.0929,201.6004
Microservices,1,memory_mb,249.28,252.09,260.13,253.8333,5.6312,247.4611,260.2056
Microservices,1,network_rx_mbps,5.1788,5.2798,5.5,5.3195,0.1643,5.1337,5.5054
Microservices,5,p50_ms,399.57,397.49,392.54,396.5333,3.6113,392.4467,400.6199
Microservices,5,p99_ms,515.04,516.27,505.1,512.1367,6.1249,505.2057,519.0676
Microservices,5,throughput_rps,13.42,13.51,13.76,13.5633,0.1762,13.364,13.7627
Microservices,5,cpu_percent,251.52,253.12,253.12,252.5867,0.9238,251.5413,253.632
Microservices,5,memory_mb,314.03,325.14,331.06,323.41,8.6458,313.6264,333.1936
Microservices,5,network_rx_mbps,7.2598,7.0995,7.2371,7.1988,0.0868,7.1006,7.297
Microservices,10,p50_ms,794.56,780.78,783.58,786.3067,7.2834,778.0647,794.5486
Microservices,10,p99_ms,967.21,977.02,954.54,966.2567,11.2703,953.5031,979.0102
Microservices,10,throughput_rps,13.75,13.92,14.1,13.9233,0.175,13.7253,14.1214
Microservices,10,cpu_percent,251.52,251.76,249.06,250.78,1.4944,249.0889,252.4711
Microservices,10,memory_mb,417.63,416.39,416.88,416.9667,0.6245,416.2599,417.6734
Microservices,10,network_rx_mbps,7.2068,7.5342,7.1547,7.2986,0.2057,7.0658,7.5313
Microservices,25,p50_ms,1974.08,1967.46,1989.68,1977.0733,11.4084,1964.1635,1989.9832
Microservices,25,p99_ms,2504.63,2432.49,2641.7,2526.2733,106.271,2406.0163,2646.5303
Microservices,25,throughput_rps,14.07,14.2,14.2,14.1567,0.0751,14.0717,14.2416
Microservices,25,cpu_percent,265.26,252.03,235.39,250.8933,14.9674,233.9561,267.8305
Microservices,25,memory_mb,576.07,581.11,577.97,578.3833,2.5453,575.5031,581.2636
Microservices,25,network_rx_mbps,7.5387,7.205,7.0717,7.2718,0.2405,6.9996,7.544
Microservices,50,p50_ms,3916.63,3965.55,4059.12,3980.4333,72.4016,3898.5033,4062.3634
Microservices,50,p99_ms,5619.83,5764.17,5753.18,5712.3933,80.3503,5621.4684,5803.3183
Microservices,50,throughput_rps,14.07,14.17,13.88,14.04,0.1473,13.8733,14.2067
Microservices,50,cpu_percent,275.81,245.43,269.34,263.5267,16.0026,245.4181,281.6353
Microservices,50,memory_mb,842.69,857.54,875.27,858.5,16.3112,840.0421,876.9579
Microservices,50,network_rx_mbps,7.1651,7.0811,6.9602,7.0688,0.103,6.9523,7.1854
Microservices,75,p50_ms,5878.92,5941.26,5969.95,5930.0433,46.54,5877.3783,5982.7083
Microservices,75,p99_ms,8530.16,8973.36,9007.21,8836.91,266.1919,8535.6855,9138.1345
Microservices,75,throughput_rps,14.2,13.59,14.09,13.96,0.3251,13.5921,14.3279
Microservices,75,cpu_percent,282.37,235.46,247.9,255.2433,24.3019,227.7432,282.7435
Microservices,75,memory_mb,1161.98,1201.73,1197.66,1187.1233,21.8697,1162.3755,1211.8712
Microservices,75,network_rx_mbps,7.0386,6.8546,7.0435,6.9789,0.1077,6.857,7.1008
Microservices,100,p50_ms,8188.89,8163.5,8161.72,8171.37,15.1988,8154.1709,8188.5691
Microservices,100,p99_ms,11848.21,12275.55,11189.8,11771.1867,546.9577,11152.2458,12390.1276
Microservices,100,throughput_rps,14.51,14.48,13.96,14.3167,0.3092,13.9667,14.6666
Microservices,100,cpu_percent,237.29,253.71,266.07,252.3567,14.4376,236.0189,268.6944
Microservices,100,memory_mb,1481.78,1549.59,1563.58,1531.65,43.7515,1482.1405,1581.1595
Microservices,100,network_rx_mbps,7.204,7.098,7.3689,7.2237,0.1365,7.0692,7.3781
Triton,1,p50_ms,92.2,93.82,91.6,92.54,1.1484,91.2405,93.8395
Triton,1,p99_ms,114.71,118.21,114.28,115.7333,2.1556,113.294,118.1726
Triton,1,throughput_rps,10.5,10.35,10.58,10.4767,0.1168,10.3445,10.6088
Triton,1,cpu_percent,208.43,208.41,208.42,208.42,0.01,208.4087,208.4313
Triton,1,memory_mb,880.22,882.47,891.92,884.87,6.2083,877.8447,891.8953
Triton,1,network_rx_mbps,103.8054,102.3041,104.1011,103.4035,0.9636,102.3131,104.4939
Triton,5,p50_ms,414.21,413.66,417.89,415.2533,2.2999,412.6507,417.8559
Triton,5,p99_ms,489.02,487.42,491.11,489.1833,1.8504,487.0894,491.2773
Triton,5,throughput_rps,11.61,11.62,11.51,11.58,0.0608,11.5112,11.6488
Triton,5,cpu_percent,235.74,236.26,236.71,236.2367,0.4854,235.6874,236.786
Triton,5,memory_mb,1014.87,1014.49,1015.57,1014.9767,0.5478,1014.3567,1015.5966
Triton,5,network_rx_mbps,114.6515,114.416,113.3121,114.1265,0.7151,113.3173,114.9358
Triton,10,p50_ms,858.8,850.02,852.06,853.6267,4.5949,848.4271,858.8263
Triton,10,p99_ms,959.31,950.9,950.98,953.73,4.8326,948.2614,959.1986
Triton,10,throughput_rps,11.37,11.46,11.43,11.42,0.0458,11.3681,11.4719
Triton,10,cpu_percent,235.66,236.64,237.19,236.4967,0.775,235.6197,237.3737
Triton,10,memory_mb,1181.69,1177.86,1185.75,1181.7667,3.9456,1177.3018,1186.2315
Triton,10,network_rx_mbps,112.6173,112.1797,111.9978,112.2649,0.3184,111.9046,112.6253
Triton,25,p50_ms,2086.96,2112.12,2070.93,2090.0033,20.763,2066.5078,2113.4988
Triton,25,p99_ms,2267.76,2269.1,2236.07,2257.6433,18.6951,2236.4879,2278.7988
Triton,25,throughput_rps,11.65,11.51,11.73,11.63,0.1114,11.504,11.756
Triton,25,cpu_percent,234.53,235.04,236.57,235.38,1.0616,234.1786,236.5814
Triton,25,memory_mb,1609.01,1628.79,1619.54,1619.1133,9.8969,1607.9139,1630.3127
Triton,25,network_rx_mbps,114.3297,113.3236,115.0125,114.222,0.8496,113.2606,115.1833
Triton,50,p50_ms,4110.94,4100.75,4287.42,4166.37,104.9561,4047.601,4285.139
Triton,50,p99_ms,4346.55,4301.54,4418.6,4355.5633,59.0482,4288.744,4422.3827
Triton,50,throughput_rps,11.8,11.84,11.37,11.67,0.2606,11.3751,11.9649
Triton,50,cpu_percent,234.52,235.21,239.46,236.3967,2.6753,233.3693,239.424
Triton,50,memory_mb,2383.87,2387.33,2373.12,2381.44,7.4101,2373.0547,2389.8253
Triton,50,network_rx_mbps,116.5019,116.0092,111.9867,114.8326,2.4769,112.0298,117.6355
Triton,75,p50_ms,6408.82,6360.73,6405.32,6391.6233,26.8116,6361.2832,6421.9635
Triton,75,p99_ms,6671.23,6560.33,6676.39,6635.9833,65.5685,6561.7856,6710.1811
Triton,75,throughput_rps,11.36,11.46,11.35,11.39,0.0608,11.3212,11.4588
Triton,75,cpu_percent,237.34,236.57,239.0,237.6367,1.2419,236.2314,239.042
Triton,75,memory_mb,3222.3,3214.56,3232.46,3223.1067,8.9772,3212.948,3233.2654
Triton,75,network_rx_mbps,112.3932,113.1151,112.3318,112.6133,0.4356,112.1204,113.1063
Triton,100,p50_ms,8290.44,8542.5,8481.29,8438.0767,131.469,8289.3055,8586.8479
Triton,100,p99_ms,8599.0,8724.63,9732.53,9018.72,621.3608,8315.584,9721.856
Triton,100,throughput_rps,11.7,11.36,11.39,11.4833,0.1882,11.2703,11.6963
Triton,100,cpu_percent,237.77,238.97,238.66,238.4667,0.6229,237.7618,239.1716
Triton,100,memory_mb,4112.31,4034.85,4047.77,4064.9767,41.4978,4018.0175,4111.9358
Triton,100,network_rx_mbps,114.9707,113.1383,113.5542,113.8878,0.9606,112.8007,114.9748
